Year,Rank,Country,Losses,Losses_B
2019,1,US,3302744547,3.302744547
2019,2,CN,2532007781,2.532007781
2019,3,RU,2404940557,2.404940557
2019,4,DE,1559415577,1.559415577
2019,5,GB,1342411802,1.342411802
2020,1,US,3906715208,3.906715208
2020,2,CN,3061083799,3.061083799
2020,3,DE,2432407746,2.432407746
2020,4,RU,2402832265,2.402832265
2020,5,GB,1590816673,1.590816673
2021,1,US,6466618579,6.466618579
2021,2,RU,5932226222,5.932226222
2021,3,CN,5067323422,5.067323422
2021,4,GB,2740678986,2.740678986
2021,5,UA,2590458387,2.590458387
2022,1,US,10304392551,10.304392551
2022,2,RU,7664442141,7.664442141
2022,3,CN,7405960835,7.405960835
2022,4,GB,5037818889,5.037818889
2022,5,SG,3813537684,3.813537684
2023,1,US,11916782073,11.916782073
2023,2,RU,11282113958,11.282113958
2023,3,CN,8997589579,8.997589579
2023,4,DE,5575128098,5.575128098
2023,5,UA,4171982394,4.171982394
2024,1,US,14457011740,14.45701174
2024,2,CN,11299124337,11.299124337
2024,3,RU,11161782401,11.161782401
2024,4,GB,6379113995,6.379113995
2024,5,DE,5279486289,5.279486289
